sample_id,food_name,category,gt_min,gt_max,condition,run_id,predicted_days,in_range,abs_error,raw_response_excerpt
f01,사과 1개,fruit,21,42,baseline,0,45,0,3,"```json {""food_name"": ""사과 1개"", ""estimated_days"": 45} ```"
f01,사과 1개,fruit,21,42,baseline,1,30,1,0,"```json {""food_name"": ""사과 1개"", ""estimated_days"": 30} ```"
f01,사과 1개,fruit,21,42,baseline,2,28,1,0,"```json {""food_name"": ""사과 1개"", ""estimated_days"": 28} ```"
f01,사과 1개,fruit,21,42,cot,0,28,1,0,"```json {   ""food_name"": ""사과 1개"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 28,   ""reasoning"": ""사과는 신선식품(과일)이며, 일반 가정에서 가장 일반적인 보관 방법은 냉장입니다. 냉장 보관 시 일반적으로 3~6주(21~42일) 정도 "
f01,사과 1개,fruit,21,42,cot,1,45,0,3,"```json {   ""food_name"": ""사과 1개"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 45,   ""reasoning"": ""사과는 신선식품(과일)으로 분류되며, 일반 가정에서는 냉장(4°C) 보관이 가장 일반적입니다. 냉장 보관 시 일반적으로 3주에서 8주(2"
f01,사과 1개,fruit,21,42,cot,2,30,1,0,"```json {   ""food_name"": ""사과 1개"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 30,   ""reasoning"": ""사과는 신선식품(과일)이며, 일반 가정에서는 냉장(4°C) 보관이 가장 일반적이다. 냉장 보관 시 3~6주(21~42일)의 보관기한을 가"
f01,사과 1개,fruit,21,42,few_shot_cot,0,45,0,3,"```json {   ""food_name"": ""사과 1개"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 45,   ""reasoning"": ""신선과일, 냉장 보관 시 1~2개월"" } ```"
f01,사과 1개,fruit,21,42,few_shot_cot,1,28,1,0,"```json {   ""food_name"": ""사과 1개"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 28,   ""reasoning"": ""신선과일, 냉장 보관 시 3~4주"" } ```"
f01,사과 1개,fruit,21,42,few_shot_cot,2,30,1,0,"```json {   ""food_name"": ""사과 1개"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 30,   ""reasoning"": ""신선과일, 냉장 보관 시 3~6주"" } ```"
f02,바나나 1송이,fruit,5,10,baseline,0,5,1,0,"```json {""food_name"": ""바나나 1송이"", ""estimated_days"": 5} ```"
f02,바나나 1송이,fruit,5,10,baseline,1,5,1,0,"```json {""food_name"": ""바나나 1송이"", ""estimated_days"": 5} ```"
f02,바나나 1송이,fruit,5,10,baseline,2,4,0,1,"```json {   ""food_name"": ""바나나 1송이"",   ""estimated_days"": 4 } ```"
f02,바나나 1송이,fruit,5,10,cot,0,5,1,0,"```json {   ""food_name"": ""바나나 1송이"",   ""category"": ""신선식품(과일)"",   ""storage"": ""실온"",   ""estimated_days"": 5,   ""reasoning"": ""바나나는 신선식품(과일)이며 실온 보관이 일반적입니다. 실온에서 보통 3~7일 보관 가능하며, '1송이'라는 수량은 보관기한에 큰 영향을 주지 "
f02,바나나 1송이,fruit,5,10,cot,1,5,1,0,"```json {   ""food_name"": ""바나나 1송이"",   ""category"": ""신선식품(과일)"",   ""storage"": ""실온"",   ""estimated_days"": 5,   ""reasoning"": ""바나나는 신선식품(과일)이며, 일반 가정에서는 실온 보관이 가장 일반적입니다. 실온 보관 시 일반적으로 3~7일 정도 보관 가능하며, '1송이'"
f02,바나나 1송이,fruit,5,10,cot,2,5,1,0,"```json {   ""food_name"": ""바나나 1송이"",   ""category"": ""신선식품(과일)"",   ""storage"": ""실온"",   ""estimated_days"": 5,   ""reasoning"": ""바나나는 신선식품(과일)으로, 일반 가정에서는 실온에 보관하는 것이 일반적입니다. 실온 보관 시 일반적으로 3~7일 정도의 보관기한을 가지며, "
f02,바나나 1송이,fruit,5,10,few_shot_cot,0,7,1,0,"```json {   ""food_name"": ""바나나 1송이"",   ""category"": ""fruit"",   ""storage"": ""실온"",   ""estimated_days"": 7,   ""reasoning"": ""신선과일, 실온 5~10일 범위의 중간값"" } ```"
f02,바나나 1송이,fruit,5,10,few_shot_cot,1,7,1,0,"```json {   ""food_name"": ""바나나 1송이"",   ""category"": ""fruit"",   ""storage"": ""실온"",   ""estimated_days"": 7,   ""reasoning"": ""신선과일, 실온 5~10일 범위의 중간값"" } ```"
f02,바나나 1송이,fruit,5,10,few_shot_cot,2,7,1,0,"```json {   ""food_name"": ""바나나 1송이"",   ""category"": ""fruit"",   ""storage"": ""실온"",   ""estimated_days"": 7,   ""reasoning"": ""신선과일, 실온 5~10일 범위의 중간값"" } ```"
f03,딸기 500g,fruit,3,7,baseline,0,5,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""estimated_days"": 5 } ```"
f03,딸기 500g,fruit,3,7,baseline,1,5,1,0,"```json {""food_name"": ""딸기 500g"", ""estimated_days"": 5} ```"
f03,딸기 500g,fruit,3,7,baseline,2,5,1,0,"```json {""food_name"": ""딸기 500g"", ""estimated_days"": 5} ```"
f03,딸기 500g,fruit,3,7,cot,0,5,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""category"": ""신선식품 (과일)"",   ""storage"": ""냉장 (4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""딸기는 신선식품(과일)으로, 일반 가정에서 냉장(4°C) 보관이 일반적입니다. 냉장 보관 시 일반적으로 3~7일 정도 보관 가능하나"
f03,딸기 500g,fruit,3,7,cot,1,4,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 4,   ""reasoning"": ""딸기는 신선식품(과일)으로, 일반 가정에서 냉장(4°C) 보관하는 것이 가장 일반적입니다. 신선한 딸기는 냉장 보관 시 보통 3~7일 "
f03,딸기 500g,fruit,3,7,cot,2,5,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""category"": ""신선식품(과일)"",   ""storage"": ""냉장(4°C)"",   ""estimated_days"": 5,   ""reasoning"": ""딸기는 신선식품(과일)이며, 일반 가정에서 냉장(4°C) 보관이 가장 일반적이다. 냉장 보관 시 딸기의 일반적인 보관 기한은 3~7일 "
f03,딸기 500g,fruit,3,7,few_shot_cot,0,4,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 4,   ""reasoning"": ""신선 과일, 냉장 3~5일"" } ```"
f03,딸기 500g,fruit,3,7,few_shot_cot,1,5,1,0,"```json {   ""food_name"": ""딸기 500g"",   ""category"": ""fruit"",   ""storage"": ""냉장"",   ""estimated_days"": 5,   ""reasoning"": ""신선과일, 냉장 3~7일 범위의 중간값"" } ```"
